eventID,$.ods:hasEvents[*].@id
parentEventID,
preferredEventName,
eventCategory,
eventType,ods:event.dwc:eventType
datasetName,$.dwc:datasetName
datasetID,$.dwc:datasetID
fieldNumber,$.ods:hasEvents[0].dwc:fieldNumber
eventConductedBy,$.ods:hasEvents[0].ods:hasAgents
eventConductedByID,$.ods:hasEvents[0].ods:hasAgents
eventDate,$.ods:hasEvents[0].dwc:eventDate
eventTime,$.ods:hasEvents[0].dwc:eventTime
startDayOfYear,$.ods:hasEvents[0].dwc:startDayOfYear
endDayOfYear,$.ods:hasEvents[0].dwc:endDayOfYear
year,$.ods:hasEvents[0].dwc:year
month,$.ods:hasEvents[0].dwc:month
day,$.ods:hasEvents[0].dwc:day
verbatimEventDate,$.ods:hasEvents[0].dwc:verbatimEventDate
verbatimLocality,$.ods:hasEvents[0].ods:Location.dwc:verbatimLocality
verbatimElevation,$.ods:hasEvents[0].ods:Location.dwc:verbatimElevation
verbatimDepth,$.ods:hasEvents[0].ods:Location.dwc:verbatimDepth
verbatimCoordinates,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:verbatimCoordinates
verbatimLatitude,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:verbatimLatitude
verbatimLongitude,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:verbatimLongitude
verbatimCoordinateSystem,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:verbatimCoordinateSystem
verbatimSRS,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:verbatimSRS
georeferenceVerificationStatus,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:georeferenceVerificationStatus
habitat,$.ods:hasEvents[0].dwc:habitat
eventEffort,
fieldNotes,$.ods:hasEvents[0].dwc:fieldNotes
eventReferences,
eventRemarks,$.ods:hasEvents[0].dwc:eventRemarks
locationID,$.ods:hasEvents[0].ods:hasLocation.dwc:locationID
higherGeographyID,$.ods:hasEvents[0].ods:hasLocation.dwc:higherGeographyID
higherGeography,$.ods:hasEvents[0].ods:hasLocation.dwc:higherGeography
continent,$.ods:hasEvents[0].ods:hasLocation.dwc:continent
waterBody,$.ods:hasEvents[0].ods:hasLocation.dwc:waterBody
islandGroup,$.ods:hasEvents[0].ods:hasLocation.dwc:islandGroup
island,$.ods:hasEvents[0].ods:hasLocation.dwc:island
country,$.ods:hasEvents[0].ods:hasLocation.dwc:country
countryCode,$.ods:hasEvents[0].ods:hasLocation.dwc:countryCode
stateProvince,$.ods:hasEvents[0].ods:hasLocation.dwc:stateProvince
county,$.ods:hasEvents[0].ods:hasLocation.dwc:county
municipality,$.ods:hasEvents[0].ods:hasLocation.dwc:municipality
locality,$.ods:hasEvents[0].ods:hasLocation.dwc:locality
minimumElevationInMeters,$.ods:hasEvents[0].ods:hasLocation.dwc:minimumElevationInMeters
maximumElevationInMeters,$.ods:hasEvents[0].ods:hasLocation.dwc:maximumElevationInMeters
verticalDatum,$.ods:hasEvents[0].ods:hasLocation.dwc:verticalDatum
minimumDepthInMeters,$.ods:hasEvents[0].ods:hasLocation.dwc:minimumDepthInMeters
maximumDepthInMeters,$.ods:hasEvents[0].ods:hasLocation.dwc:maximumDepthInMeters
minimumDistanceAboveSurfaceInMeters,$.ods:hasEvents[0].ods:hasLocation.dwc:minimumDistanceAboveSurfaceInMeters
maximumDistanceAboveSurfaceInMeters,$.ods:hasEvents[0].ods:hasLocation.dwc:maximumDistanceAboveSurfaceInMeters
locationRemarks,$.ods:hasEvents[0].ods:hasLocation.dwc:locationRemarks
decimalLatitude,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:decimalLatitude
decimalLongitude,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:decimalLongitude
geodeticDatum,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:geodeticDatum
coordinateUncertaintyInMeters,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:coordinateUncertaintyInMeters
coordinatePrecision,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:coordinatePrecision
pointRadiusSpatialFit,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:pointRadiusSpatialFit
footprintWKT,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:footprintWKT
footprintSRS,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:footprintSRS
footprintSpatialFit,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:footprintSpatialFit
georeferencedBy,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.ods:hasAgents
georeferencedByID,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.ods:hasAgents
georeferencedDate,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:georeferencedDate
georeferenceProtocol,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:georeferenceProtocol
georeferenceProtocolID,
georeferenceSources,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:georeferenceSources
georeferenceRemarks,$.ods:hasEvents[0].ods:hasLocation.ods:hasGeoreference.dwc:georeferenceRemarks
informationWithheld,
dataGeneralizations,
preferredSpatialRepresentation,
