subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dcterms:modified	Modified	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:dateLastEdited	Date Last Edited	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:modified	Modified	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:revisionData/dateModified	Date Modified	rdf property	Dataset		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:unitGUID	Unit GUID	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:unitID	Unit ID	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:license	License	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:iprstatements/licenses/license/0/uri	URI	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:license	License	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:iprstatements/licenses/license/0/text	Text	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:license	License	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:ipr/licenses/license/0/uri	URI	rdf property	Dataset		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:license	License	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:ipr/licenses/license/0/text	Text	rdf property	Dataset		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:basisOfRecord	Basis Of Record	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:recordBasis	Record Basis	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:collectionID	Collection ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:sourceID	Source ID	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:preparations	Preparations	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:kindOfUnit/0/value	Value	rdf property	Unit	Often used as preparartion but the description differs	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:preparations	Preparations	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:specimenUnit/preparations/preparation/0/preparationType/value	Value	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:datasetName	Dataset Name	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:description/representation/0/title	Title	rdf property	Dataset		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:datasetID	Dataset ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:datasetGUID	Dataset GUID	rdf property	Dataset		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:verbatimLabel	Verbatim Label	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:specimenUnit/marks/mark/0/markText/value	Value	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lifeStage	Life Stage	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:unit/mycologicalUnit/mycologicalSexualStage	Mycological Sexual Stage	rdf property	Unit	No description in abcd	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lifeStage	Life Stage	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:unit/mycologicalUnit/mycologicalLiveStages/0/mycologicalLiveStage/value	Value	rdf property	Unit	Uncertain about mapping	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lifeStage	Life Stage	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:unit/zoologicalUnit/phasesOrStages/0/phaseOrStage/value	Value	rdf property	Unit	ABCD term only for a specific group so dwc has a broader meaning	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:fieldNumber	Field Number	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/code	Code	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:eventDate	Event Date	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:gathering/dateTime/isodateTimeBegin	Isodate Time Begin	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
