subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_type	object_category	object_label	comment	author_id	mapping_provider	mapping_date
dwc:eventID	Event ID	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventID	rdf property	dwc:Event	Event ID	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:eventType	Event Type	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventType	rdf property	dwc:Event	Event Type	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:datasetID	Dataset ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:datasetID	rdf property	dwc:Event	Dataset ID	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:datasetName	Dataset Name	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:datasetName	rdf property	dwc:Event	Dataset Name	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:fieldNumber	Field Number	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:fieldNumber	rdf property	dwc:Event	Field Number	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:eventDate	Event Date	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventDate	rdf property	dwc:Event	Event Date	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:eventTime	Event Time	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventTime	rdf property	dwc:Event	Event Time	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:startDayOfYear	Start Day Of Year	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:startDayOfYear	rdf property	dwc:Event	Start Day Of Year	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:endDayOfYear	End Day Of Year	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:endDayOfYear	rdf property	dwc:Event	End Day Of Year	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:year	Year	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:year	rdf property	dwc:Event	Year	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
