subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dcterms:modified	Modified	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dcterms:modified	Modified	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	dwc:occurrenceID	Occurrence ID	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	dwc:catalogNumber	Catalog Number	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	dwc:materialSampleID	Material Sample ID	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:materialEntityID	Material Entity ID	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:license	License	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#broadMatch	dc:license	License	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dcterms:license	License	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#narrowMatch	eml:license	License	rdf property		This is set on dataset level instead of on row level	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:basisOfRecord	Basis Of Record	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:basisOfRecord	Basis Of Record	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:collectionID	Collection ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:collectionID	Collection ID	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:informationWithheld	Information Withheld	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:informationWithheld	Information Withheld	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
